BANK,IFSC,MICR,BRANCH,ADDRESS,CITY1,CITY2,STATE,STD CODE,PHONE
ANDHRA BANK,ANDB0CG7721,,KAVURU,"CHAITANYA GODAVARI GRAMEENA BANK, KAVURU BRANCH, D NO 9-12,KAVURU POST,CHILAKALURIPET MANDAL, GUNTUR DISTRICT",GUNTUR,KAVURU,ANDHRA PRADESH,8647,9121107060
ANDHRA BANK,ANDB0CG7720,,CGGB VELLATURU,"KOLLI VENKATRAMAIAH COMPLEX, BESIDE BUS STAND, MAIN ROAD, VELLATURU, BHATTIPROLU MANDAL,522257",GUNTUR,BHATTIPROLU,ANDHRA PRADESH,0,7993352725
ANDHRA BANK,ANDB0CG7719,,CGGB SATULURU,"EETARAM PUBLIC SCHOOL COMPLEX,MAIN ROAD, SATULURU, NADENDLA MANDAL, GUNTUR DISTRICT ,522549",GUNTUR,GUNTUR,ANDHRA PRADESH,0,7993352723
ANDHRA BANK,ANDB0CG7718,,CGGB PINNELLI,"PINNELLI POST, MACHAVARAM MANDAL,522435",GUNTUR,MACHAVARAM,ANDHRA PRADESH,0,7993352726
ANDHRA BANK,ANDB0CG7717,,CGGB SUDDAPALLI,"D NO 1-113, SAI BABA TEMPLE CENTRE,SUDDAPALLI , CHEBROLE MANDAL, GUNTUR DISTRICT , 522213",GUNTUR,GUNTUR,ANDHRA PRADESH,0,7993352724
ANDHRA BANK,ANDB0CG7716,,CGGB _x000B_KOPPANURU,"1-87, GROUND FLOOR, KOPPANURU MAIN ROAD, MACHERLA MANDAL, GUNTUR DISTRICT 522426",GUNTUR,MACHERLA,ANDHRA PRADESH,0,9640932851
ANDHRA BANK,ANDB0CG7715,,CGGB NEMALIKALLU,"1-95, GROUND FLOOR, NEMALIKALLU, AMARAVATHI MANDAL, GUNTUR DISTRICT 522016",GUNTUR,AMARAVATHI,ANDHRA PRADESH,0,8801376300
ANDHRA BANK,ANDB0CG7714,,CGGB _x000B_PILLUTLA,"3-81, A PILLUTLA, MACHAVARAM MANDAL, GUNTUR DISTRICT 522413",GUNTUR,MACHAVARAM,ANDHRA PRADESH,0,9885552468
ANDHRA BANK,ANDB0CG7713,,CGGB CHERUKUPALLI,"D NO 9 199 1,SRIDEVI COMPLEX, AMBEDKAR CENTRE, MAIN ROAD, CHERUKUPALLI, GUNTUR,522309",GUNTUR,CHERUKUPALLI,ANDHRA PRADESH,8648,246001
ANDHRA BANK,ANDB0CG7712,,CGGB NADENDLA,"D NO 2 112, NADENDLA , NADENDLA , GUNTUR 522234",GUNTUR,NADENDLA,ANDHRA PRADESH,8647,274274
ANDHRA BANK,ANDB0CG7711,,CGGB PONNEKALLU,"D NO 6 75 2,C O SYAMALA RAMI REDDYPONNEKALLU, TADIKONDA , GUNTUR 522018",GUNTUR,PONNEKALLU,ANDHRA PRADESH,8632,281059
ANDHRA BANK,ANDB0CG7710,,CGGB UPPALAPADU,"D NO 1 74, MAIN CENTER UPPALAPADU, NARASARAOPET RURAL,GUNTUR,522601",GUNTUR,UPPALAPADU,ANDHRA PRADESH,0,9100903071
ANDHRA BANK,ANDB0CG7709,,CGGB PITTALAVANIPALEM,"GROUND FLOOR, D NO 11 165 2,MAIN ROAD, PITTALAVANIPALEM, GUNTUR , 522329",GUNTUR,PITTALAVANIPALEM,ANDHRA PRADESH,8643,258009
ANDHRA BANK,ANDB0CG7708,,CGGB VEMULURIPADU,"D NO 2 195, GROUND FLOOR,VEMULURIPADU ,PHIRANGIPURAM ,GUNTUR, 522529",GUNTUR,VEMULURIPADU,ANDHRA PRADESH,8641,257676
ANDHRA BANK,ANDB0CG7707,,CGGB BRUNDAVAN GARDENS,"CHAITANYA GODAVARI GRAMEENA BANK, GROUND FLOOR, D NO 3 28 18 63, 5TH LANE,BRUNDAVAN GARDENS, GUNTUR,AP,522006",GUNTUR,GUNTUR,ANDHRA PRADESH,0,9440089976
ANDHRA BANK,ANDB0CG7706,,CGGB LANCHESTER ROAD GUNTUR,"LANCHESTER ROAD BR, FIRST FLOOR, D.NO 18 40 72 9 A, BEHIND AMMAVARI TEMPLE, PONNURU ROAD, GUNTUR TOWN,522003",GUNTUR,GUNTUR,ANDHRA PRADESH,0,9848842470
ANDHRA BANK,ANDB0CG7705,,CGGB ANANTHAVARAPPADU,"GROUND FLOOR, D.NO. 3 1, ANANTHAVARAPPADU, VATTICHERUKURU MANDAL, GUNTUR DISTRICT,522212",GUNTUR,ANANTHAVARAPPADU,ANDHRA PRADESH,0,9494246286
ANDHRA BANK,ANDB0CG7704,,CGGB TADIKONDA,"GROUND FLOOR, D.NO.14 71, OPP GANDHI PARK, TADIKONDA, TADIKONDA MANDAL, GUNTUR DISTRICT,522236",GUNTUR,TADIKONDA,ANDHRA PRADESH,0,9493033327
ANDHRA BANK,ANDB0CG7703,,KROSURU,"S NO594A2 NEAREST DNO48 NTR CENTRE, NEAR MAIN ROAD 522410",GUNTUR,KROSUR,ANDHRA PRADESH,0,9985942602
ANDHRA BANK,ANDB0CG7702,,KUPPURAO COLONY,"GROUND FLOOR, DNO5704, KUPPURAO COLONY, MANGALAGIRI, MANGALAGIRI MANDAL, GUNTUR DISTR 522503",GUNTUR,MANGALAGIRI,ANDHRA PRADESH,0,9966486215
ANDHRA BANK,ANDB0CG7701,,RENTACHINTALA,"GROUND FLOOR DNO 9621 STATION ROAD, RENTACHINTALA RENTACHINTALA MD 522421",GUNTUR,RENTACHINTALA,ANDHRA PRADESH,0,9553664279
ANDHRA BANK,ANDB0CG7302,,CGGB KONITHIWADA,"CGGB KONITHIWADA GROUND FLOOR D NO 4-47 VENUGOPALASWAMY STREET KONITHIWADA VEERAVASARAM MANDAL, PIN - 534240",WEST GODAVARI,KONITHIWADA,ANDHRA PRADESH,0,8688836708
ANDHRA BANK,ANDB0CG7301,,G KOTHAPALLI,"CHAITANYA GODAVARI GRAMEENA BANK, G.KOTHAPALLI BRANCH, D.NO 4-2, G KOTHAPALLI POST, DWARAKA TIRUMALA MANDAL, WEST GODAVARI DISTRICT",WEST GODAVARI,G KOTHAPALLI,ANDHRA PRADESH,8813,9121107067
ANDHRA BANK,ANDB0CG7299,,MANCHILI,"CGGB, MANCHILI BRANCH, D.NO 3-129, PEDDAVEEDHI, MANCHILI, ATTILI, WEST GODAVARI",WEST GODAVARI,MANCHILI,ANDHRA PRADESH,8811,9121107065
ANDHRA BANK,ANDB0CG7298,,KALLAKURRU,"CHAITANYA GODAVARI GRAMEENA BANK, KALLAKURRU BRANCH, D.NO 3-46/1, KALLAKURU POST, KALLA MANDAL, WEST GODAVARI DISTRICT",WEST GODAVARI,KALLAKURRU,ANDHRA PRADESH,8816,9121107066
ANDHRA BANK,ANDB0CG7292,,DEVARAPALLI,"D NO 10-213, GROUND FLOOR, MAIN ROAD, DEVARAPALLI VILLAGE, DEVARAPALLI MANDAL, WEST GODAVARI, 534313",WEST GODAVARI,WEST GODAVARI,ANDHRA PRADESH,8818,7993352730
ANDHRA BANK,ANDB0CG7291,,PANGIDIGUDEM,"D NO 5-163, DWARAKA TIRUMALA, PANGIDIGUDEM, WEST GODAVARI, 534425",WEST GODAVARI,WEST GODAVARI,ANDHRA PRADESH,8818,7993352732
ANDHRA BANK,ANDB0CG7290,,CGGB TADIKALAPUDI,"DNO 5-56, TADIKALAPUDI,KAMAVARAPU KOTA MANDAL,WEST GODAVARI DISTRICT ,534 52",WEST GODAVARI,KAMAVARAPUKOTA,ANDHRA PRADESH,0,7993352731
ANDHRA BANK,ANDB0CG7289,,CGGB PEDAVEGI,"DNO 2-42, GOLLAGUDEM CENTRE,PEDAVEGI ,WEST GODAVARI DISTRICT,",WEST GODAVARI,PEDAVEGI,ANDHRA PRADESH,0,7993352733
ANDHRA BANK,ANDB0CG7288,,CGGB PENTAPADU,"DNO 11-52,BHIMAVARAM ROAD,PENTAPADU ,WEST GODAVARI DISTRICT,PIN CODE ,534166",WEST GODAVARI,PENTAPADU,ANDHRA PRADESH,0,7993352735
ANDHRA BANK,ANDB0CG7287,,CGGB VIJAYARAI,"DNO 6-109,Ã½MAIN ROAD, VIJAYARAI,PEDAVEGI MANDAL,WEST GODAVARI DISTRICT, PIN CODE,534475",WEST GODAVARI,PEDAVEGI,ANDHRA PRADESH,0,7993352734
ANDHRA BANK,ANDB0CG7278,,CGGB LINGAPALEM,"LINGAPALEM ,D NO 5 116, LINGAPALEM MANDAL,WEST GODAVARI DISTRICTPIN CODE 534462",WEST GODAVARI,LINGAPALEM,ANDHRA PRADESH,8823,246277
ANDHRA BANK,ANDB0CG7277,,CGGB SANIVARAPUPETA,"D NO 6 169, FIRST FLOOR, SANIVARAPUPETA ,ELURU RURAL ,WEST GODAVARI ,534003",WEST GODAVARI,SANIVARAPUPETA,ANDHRA PRADESH,8812,223078
ANDHRA BANK,ANDB0CG7276,,CGGB DWARAKA TIRUMALA,"D NO 2 81, KOPPISETTYVARI STREET, DWARAKA TIRUMALA POST , WEST GODAVARI,534426",WEST GODAVARI,DWARAKA TIRUMALA,ANDHRA PRADESH,8829,271271
ANDHRA BANK,ANDB0CG7272,,KOVVURU,"GROUND FLOOR, DNO7641, MOSQUE STREET, KOVVURU, KOVVURU MANDAL, WEST GODAVARI, DISTRICT, 534350",WEST GODAVARI,KOVVUR,ANDHRA PRADESH,0,9440396237
ANDHRA BANK,ANDB0CG7271,,KADIYADDA,"GROUND FLOOR, NEAR DNO125, TELEPHONE EXCHANGE CENTRE, KADIYADDA,TADEPALLIGUDEM RURAL, WG DISTRICT,534101",WEST GODAVARI,TADEPALLIGUDEM,ANDHRA PRADESH,0,9490172529
ANDHRA BANK,ANDB0CG7268,,CGGB CHINTHALAPUDI,D NO 19 136 1BATTUVARI GUDEM ROADINDIA CHINTHALAPUDIWEST GODAVARI DISTRICT 534460,WEST GODAVARI,CHINTALAPUDI,ANDHRA PRADESH,8823,223544
ANDHRA BANK,ANDB0CG7266,,CGGB KOYYALAGUDEM,GROUND FLOORANNAM REDDY STREETNEAR SVS CLINIC DCCBOPP RD TO SBIKOYYALAGUDEM WEST GODAVARI DISTRICT 534312,WEST GODAVARI,KOYYALAGUDEM,ANDHRA PRADESH,8821,237577
ANDHRA BANK,ANDB0CG7263,,CGGB VISSAKODERU,GROUND FLOOR DNO6 131 VISSAKODERU PALAKODERU MANDALWEST GODAVARI DISTRICT 534244,WEST GODAVARI,VISSAKODERU,ANDHRA PRADESH,8816,239363
ANDHRA BANK,ANDB0CG7262,,CGGB AKIVEEDU,AGRAHARAM STREET NEAR SAI BABA TEMPLEAKIVEEDU MANDALWEST GODAVARI DISTRICT534235,WEST GODAVARI,AKIVIDU,ANDHRA PRADESH,8816,255116
ANDHRA BANK,ANDB0CG7260,,CGGB APPANAVEEDU,GROUND FLOOR DNO1 62 ELURU ROAD APPANAVEEDUWEST GODAVARI DISTRICT PIN CODE521 105,WEST GODAVARI,PEDAPADU,ANDHRA PRADESH,8656,245260
ANDHRA BANK,ANDB0CG7259,,CGGB NIDADAVOLE,DNO2 2 63 CHAGALLU ROADOLE MANDALWEST GODAVARI DISTRICTPIN CODE534 301,WEST GODAVARI,NIDADAVOLE,ANDHRA PRADESH,8813,226259
ANDHRA BANK,ANDB0CG7258,,CGGB TANUKU,DNO 22 19 6GROUND FLOOR RP ROAD TANUKU WEST GODAVARI DISTRICT 534211,WEST GODAVARI,TANUKU,ANDHRA PRADESH,8819,223223
ANDHRA BANK,ANDB0CG7253,,CGGB TANGELLAMUDI,DNO 1 14 FIRST FLOOR BALAJI NAGAR TANGELLAMUDI VILLAGEPANCHAYAT ELURU MANDAL 534 005 WEST GODAVARI DISTRICT,WEST GODAVARI,ELURU,ANDHRA PRADESH,8812,241799
ANDHRA BANK,ANDB0CG7252,,CGGB KORUMAMIDI,FIRST FLOOR DNO 84 KORAMAMIDIPOST NIDADAVOLE MANDAL WEST GODAVARI DIST534 305,WEST GODAVARI,NIDADAVOLE,ANDHRA PRADESH,8813,277568
ANDHRA BANK,ANDB0CG7248,,CGGB NALLAJARLA,GROUND FLOORRSNO 563 NEARESTDNO 2 150 AKSHAYA ENCLAVE DOLPHIN WATER PLANT ROAD WGDT 534112,WEST GODAVARI,NALLAJERLA,ANDHRA PRADESH,8818,277348
ANDHRA BANK,ANDB0CG7244,,CGGB NAYDUGUDEM,DNO 1 49 GUDIPADU ROAD PEDAPADUMANDALWEST GODAVARI DISTRICT 534427,WEST GODAVARI,PEDAPADU,ANDHRA PRADESH,8812,247913
ANDHRA BANK,ANDB0CG7240,,CGGB PALAKOL,1ST FLOOR OF NEW BUILDING MAIN ROAD OPP ADITYA DEGREE COLLEGE PALAKOL WEST GODAVARI DISTRICT 534260,WEST GODAVARI,PALAKOL,ANDHRA PRADESH,8814,224546
ANDHRA BANK,ANDB0CG7238,,CGGB TADEPALLIGUDEM,1ST FLOOR DNO 2 1 31 345 KNROADOPP ZPH SCHOOL TADEPALLIGUDEM WEST GODAVARI DISTRICT 534101,WEST GODAVARI,TADEPALLIGUDEM,ANDHRA PRADESH,8818,229279
ANDHRA BANK,ANDB0CG7237,,CGGB BHIMAVARAM,DNO 1 1 6 JUVALAPALEM ROAD BHIMAVARAM WEST GODAVARI DISTRICT 534202,WEST GODAVARI,BHIMAVARAM,ANDHRA PRADESH,8816,234669
ANDHRA BANK,ANDB0CG7235,,CGGB JANGAREDDYGUDEM,DNO13 1 32 5 NEARPOTTI SRIRAMULA SATUE BUTTAIGUDEM ROAD JANGAREDDY GUDEM WEST GODAVARI DIST 534447,WEST GODAVARI,JANGAREDDIGUDEM,ANDHRA PRADESH,8821,227274
ANDHRA BANK,ANDB0CG7232,,CGGB AGADALANKA,BHIMADOLU MANDAL WEST GODAVARI DISTRICT 534427,WEST GODAVARI,GUNDUGOLANU,ANDHRA PRADESH,8829,275711
ANDHRA BANK,ANDB0CG7231,,CGGB TIRUPATHIPURAM,VIARELANGIATTILI MANDAL WEST GODAVARI DISTRICT PIN CODE534 225,WEST GODAVARI,TIRUPATIPURAM,ANDHRA PRADESH,8819,255402
ANDHRA BANK,ANDB0CG7229,,CGGB POLAMURU,PENUMANTRA MANDAL PIN CODE534 238 WEST GODAVARI DIST,WEST GODAVARI,POLAMURU,ANDHRA PRADESH,8816,283174
ANDHRA BANK,ANDB0CG7228,,CGGB KALIPATNAM,GROUND FLOOR NEAREST DNO 5 184 MAIN ROAD KALIPATNAM MOGALTHALURUMANDALAM WGDT 534281,WEST GODAVARI,KALIPATNAM,ANDHRA PRADESH,8814,286219
ANDHRA BANK,ANDB0CG7227,,CGGB ELURU,NARASIMHA RAO PET ELURU WEST GODAVARI DIST 534006,WEST GODAVARI,ELURU,ANDHRA PRADESH,8812,233025
ANDHRA BANK,ANDB0CG7225,,CGGB VALLURU  WEST,ACHANTA MANDAL WEST GODAVARI DISTRICT 534270,WEST GODAVARI,VALLURU,ANDHRA PRADESH,8814,252188
ANDHRA BANK,ANDB0CG7220,,CGGB CHINNAKAPAVARAM,AKIVIDU MANDAL WEST GODAVARI DISTRICT 534235,WEST GODAVARI,CHINAKAPAVARAM,ANDHRA PRADESH,8816,280102
ANDHRA BANK,ANDB0CG7219,,CGGB PEDATADEPALLI,TADEPALLI GUDEMA MANDAL WEST GODAVARI DISTRICT 534102,WEST GODAVARI,PEDATADEPALLI,ANDHRA PRADESH,8818,244249
ANDHRA BANK,ANDB0CG7217,,CGGB KOPPAKA,PEDAVEGI MANDAL WEST GODAVARI DISTRICT 534003,WEST GODAVARI,KOPPAKA,ANDHRA PRADESH,8812,277403
ANDHRA BANK,ANDB0CG7213,,CGGB MAKKINAVARIGUDEM,T NARASAPURAM MANDAL WEST GODAVARI DISTRICT 534456,WEST GODAVARI,MAKKINAVARIGUDEM,ANDHRA PRADESH,8823,282238
ANDHRA BANK,ANDB0CG7212,,CGGB PURUSHOTHAPALLI,DNO 3 15 MAIN ROAD OPPOSITE TO THE BUS STOP PURUSHOTHAPALLI NIDADAVOLE MANDAL 534302 WGDT,WEST GODAVARI,PURUSHOTHAPALLI,ANDHRA PRADESH,8813,221261
ANDHRA BANK,ANDB0CG7211,,CGGB GOPANNAPALEM,DENDULURU MANDAL WEST GODAVARI DISTRICT 534450,WEST GODAVARI,GOPANNAPALEM,ANDHRA PRADESH,8812,259469
ANDHRA BANK,ANDB0CG7209,,CGGB MEDAPADU,YELAMANCHILI MANDAL WEST GODAVARI DISTRICT 534268,WEST GODAVARI,ELAMANCHILI,ANDHRA PRADESH,8814,251301
ANDHRA BANK,ANDB0CG7207,,CGGB ELETIPADU,DOOR NO 4 24 PEKERU ROAD IRGAVARMA MANDAL WEST GODAVARI DISTRICT 534320,WEST GODAVARI,ELETIPADU,ANDHRA PRADESH,8819,246026
ANDHRA BANK,ANDB0CG7205,,CGGB PENUMADAM,PODUR MANDALWEST GODAVARI DISTRICT 534267,WEST GODAVARI,PENUMADAM,ANDHRA PRADESH,8814,259103
ANDHRA BANK,ANDB0CG7204,,CGGB NIDAMARRU,VIAPEDANINDRAKOLANU WEST GODAVARI DISTRICT PIN CODE 534 195,WEST GODAVARI,NIDAMARRU,ANDHRA PRADESH,8818,245950
ANDHRA BANK,ANDB0CG7197,,SANKHAVARAM,"CHAITANYA GODAVARI GRAMEENA BANK, SANKHAVARAM BRANCH, D NO 8-197, GANDHI BOMMA CENTRE,SANKHAVARAM POST& MANDAL, EAST GODAVARI DISTRICT",EAST GODAVARI,SANKHAVARAM,ANDHRA PRADESH,8868,9121107062
ANDHRA BANK,ANDB0CG7196,,GOLLAPROLU,"CGGB, GOLLAPROLU, OLD D.NO 6-189/1, NEW D.NO 13-1354, SATTIBALAJIPETA, GOLLAPROLU, EAST GODAVARI",EAST GODAVARI,GOLLAPROLU,ANDHRA PRADESH,8869,9121107068
ANDHRA BANK,ANDB0CG7195,,VIRAWADA,"CGGB, VIRAWADA BRANCH, D.NO 7-121/126 B, GROUND FLOOR, VIRAWADA POST, PITHAPURAM MANDAL, EAST GODAVARI DISTRICT",EAST GODAVARI,VIRAWADA,ANDHRA PRADESH,8869,9121107063
ANDHRA BANK,ANDB0CG7194,,PANDURU,"CHAITANYA GODAVARI GRAMEENA BANK, PANDURU BRANCH, D.NO 2-101 & 2-102, , PANDURU POST, KAKINADA RURAL MANDAL, EAST GODAVARI DISTRICT",EAST GODAVARI,PANDURU,ANDHRA PRADESH,884,9121107061
ANDHRA BANK,ANDB0CG7193,520702102,MULASTHANAM,"CHAITANYA GODAVARI GRAMEENA BANK, MULASTHANAM BRANCH, D.NO 1-7/1, SAI BABA TEMPLE STREET, MULASTHANAM POST, ALAMURU MANDAL, EAST GODAVARI DISTRICT",EAST GODAVARI,MULASTHANAM,ANDHRA PRADESH,855,9121107064
ANDHRA BANK,ANDB0CG7186,,CGGB ANGARA,"D NO 11-189, ANGARA, KAPILESWARAPURAM MANDAL, ANGARA,EAST GODAVARI DISTRICT ,533307",EAST GODAVARI,RAJAHMUNDRY,ANDHRA PRADESH,0,7993352729
ANDHRA BANK,ANDB0CG7185,,CGGB YELESWARAM,"D NO 1-19-334,RTC COLONY AREA, REVENUE WARD 19, YELESWARAM, EAST GODAVARI DISTRICT, 533429",EAST GODAVARI,YELESWARAM,ANDHRA PRADESH,0,7993352728
ANDHRA BANK,ANDB0CG7184,,CGGB PATHATHUNGAPADU,"653, NEAR D NO 2-139, POTHATUNGAPADU VILLAGE, RAJANAGARAM MANDAL, EAST GODAVARI DISTRICT 533341",EAST GODAVARI,RAJANAGARAM,ANDHRA PRADESH,0,9394794453
ANDHRA BANK,ANDB0CG7183,,CGGB _x000B_KOTHURU,"8-27, GROUND FLOOR, VELAMA KOTHURU COLONY, KOTHURU VILLAGE, TUNI MANDAL, EAST GODAVARI DISTRICT 533401",EAST GODAVARI,ANAPARTHI,ANDHRA PRADESH,0,9441961931
ANDHRA BANK,ANDB0CG7182,,CGGB _x000B_BURUGUPUDI,"3-143, GROUND FLOOR, NEAR RAMALAYAM, KIRLAMPUDI MANDAL, BURUGUPUDI, EAST GODAVARI DISTRICT 533435",EAST GODAVARI,KORUKONDA,ANDHRA PRADESH,0,9866252464
ANDHRA BANK,ANDB0CG7181,,CGGB VEERAVARAM,"D NO 2 132, VEERAVARAM ,KADIYAM ,EAST GODAVARI,533126",EAST GODAVARI,VEERAVARAM,ANDHRA PRADESH,8832,453322
ANDHRA BANK,ANDB0CG7180,,CGGB MORAMPUDI,"D NO 89 31 2, GROUND FLOOR, MORAMPUDI , RAJAHMUNDRY RURAL , EAST GODAVARI ,533107",EAST GODAVARI,MORAMPUDI,ANDHRA PRADESH,8832,472455
ANDHRA BANK,ANDB0CG7179,,CGGB SARPAVARAM,"NEAR D NO 3 218, PUNTHA ROAD, SARPAVARAM , KAKINADA RURAL , EAST GODAVARI ,533005",EAST GODAVARI,SARPAVARAM,ANDHRA PRADESH,0,9100903080
ANDHRA BANK,ANDB0CG7175,,CGGB KOMARIPALEM,"CHAITANYA GODAVARI GRAMEENA BANK, GROUND FLOOR, DNO 1 42 A, MAIN ROAD, KOMERAPALEM, BIKKAVOLU MD, EG DT,AP,533346",EAST GODAVARI,GUNTUR,ANDHRA PRADESH,0,9849047028
ANDHRA BANK,ANDB0CG7174,,BENDAPUDI,"FIRST FLOOR,UPSTAIRS NR, DNO3872, BENDAPUDI,THONDANGI MANDAL, EAST GODAVARI,DISTRICT, 533406",EAST GODAVARI,THONDANGI,ANDHRA PRADESH,0,8978925784
ANDHRA BANK,ANDB0CG7173,,GANTI,"GROUND FLOOR, DNO5101, GANTI, KOTHAPETA MD EAST GODAVARI DT 533274",EAST GODAVARI,KOTHAPETA,ANDHRA PRADESH,0,9550077990
ANDHRA BANK,ANDB0CG7170,,CGGB KOTHAPETA,D NO 3 9MAIN ROADKOTHAPETA EAST GODAVARI DISTRICT 533223,EAST GODAVARI,KOTHAPETA,ANDHRA PRADESH,8855,244279
ANDHRA BANK,ANDB0CG7169,,CGGB RAVULAPALEM,D NO 5 207 MARKET STREET OPP RAJULA SANGAM OFFICEBESIDE ABHINAVA FURNITURESRAVULAPALEMEGDT 533238,EAST GODAVARI,RAVULAPALEM,ANDHRA PRADESH,8855,255424
ANDHRA BANK,ANDB0CG7167,,CGGB DIWANCHERUVU,D NO 4 40DIWANCHERUVU533296 RAJANAGARAM MANDAL EAST GODAVARI DISTRICT,EAST GODAVARI,RAJANAGARAM,ANDHRA PRADESH,883,403220
ANDHRA BANK,ANDB0CG7165,,CGGB CHOPPELLA,GROUND FLOOR DNO 2 65 CHOPPELLA ALAMURU MANDAL EAST GODAVARI DISTRICT533 234,EAST GODAVARI,ALAMURU,ANDHRA PRADESH,883,493113
ANDHRA BANK,ANDB0CG7164,,CGGB POLAMURU EAST,DNO 3 186 TURUPUPETA POLAMURU ANAPARTHY MANDAL EAST GODAVARI DISTRICT533 342,EAST GODAVARI,ANAPARTHI,ANDHRA PRADESH,91,9390940518
ANDHRA BANK,ANDB0CG7161,,CGGB VETLAPALEM,DNO10 62 MOKKARAVICHETTU ARLAKOT MANDAL EAST GODAVARI DISTRICT533 434,EAST GODAVARI,VETLAPALEM,ANDHRA PRADESH,884,392123
ANDHRA BANK,ANDB0CG7157,,CGGB TUNI,GROUND FLOOR DNO5 19 4 MUSLIM STREET NEAR PARK TUNI533401 EG DIST,EAST GODAVARI,TUNI,ANDHRA PRADESH,8854,255777
ANDHRA BANK,ANDB0CG7156,,CGGB MUNSAB GARI CENTRE KAKINADA,GROUND FLOOR DNO50 4 3 9 REET JAGANNAICKPUR KAKINADA533 002 EG DIST,EAST GODAVARI,KAKINADA,ANDHRA PRADESH,884,383811
ANDHRA BANK,ANDB0CG7155,,CGGB K GANGAVARAM,DNO 2 114 PAMARRU ROADMANDAL533 305 EAST GODAVARI DISTRICT,EAST GODAVARI,DRAKSHARAMA,ANDHRA PRADESH,8857,255044
ANDHRA BANK,ANDB0CG7154,,CGGB VENTURU,DNO 6 129 C GROUND FLOORGE RAYAVARAM MANDAL533 255 EG DIST,EAST GODAVARI,RAMACHANDRAPURAM,ANDHRA PRADESH,8857,242599
ANDHRA BANK,ANDB0CG7151,,CGGB A V APPARAO RD RAJAHMUNDRY,DNO 80 23 21 JAYA SREE GARDENS 2ND STREET JNROAD EG DIST 533103,EAST GODAVARI,RAJAHMUNDRY,ANDHRA PRADESH,883,421151
ANDHRA BANK,ANDB0CG7150,,CGGB ATCHAMPETA  EG,DNO1 96 GROUND FLOOR MAIN ROAD SAMARLAKOTA MANDAL EG DIST 533005,EAST GODAVARI,KAKINADA,ANDHRA PRADESH,884,307150
ANDHRA BANK,ANDB0CG7149,,CGGB KOVVADA,DNO 146 4 MAIN ROAD KOVVADA VILLAGE KAKINADARURAL EG DIST 533006,EAST GODAVARI,KAKINADA,ANDHRA PRADESH,884,358388
ANDHRA BANK,ANDB0CG7147,,CGGB KESAVARAM,GROUND FLOOR DOOR NO 6 69 MANDAPETAMANDALKESAVARAM533 341,EAST GODAVARI,DWARAPUDI,ANDHRA PRADESH,8855,220678
